fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2011-03-01,59473000,1109690000,1.38,,0.05359424704196668,
2010-12-31,2011-03-01,138633000,1799963000,2.81,,0.07701991652050626,
2011-12-31,2012-02-23,164900000,1866000000,3.11,,0.08837084673097535,
2012-12-31,2013-02-22,174000000,2084200000,3.28,,0.08348527012762691,
2013-12-31,2014-02-27,360500000,2134200000,6.55,,0.16891575297535377,
2014-12-31,2015-02-23,452100000,2627000000,8.01,,0.1720974495622383,
2015-12-31,2016-02-25,516000000,2837100000,9.28,,0.18187585915195092,
2016-12-31,2017-02-24,472800000,3619600000,8.57,,0.1306221681953807,
2017-12-31,2018-02-23,689500000,3822200000,12.03,,0.18039349065982943,
2018-12-31,2019-02-22,243600000,3457400000,4.52,,0.07045756927170706,
2019-12-31,2020-02-28,15700000,2937500000,0.31,,0.00534468085106383,
2020-12-31,2021-02-19,202200000,2779700000,4.33,,0.0727416627693636,
2021-12-31,2022-02-18,565700000,2786400000,13.05,,0.20302182026988227,
2022-12-31,2023-02-17,1145900000,3230300000,25.35,,0.35473485434789337,
2023-12-31,2024-02-16,672900000,3587900000,17.42,,0.18754703308341927,
2024-12-31,2025-02-14,511600000,3345300000,15.13,,0.15293097778973486,
2025-12-31,2026-02-17,716600000,3238400000,22.74,,0.22128211462450592,
